CRIME_RATE,AGE,INDUS,NOX,DISTANCE,TAX,PTRATIO,AVG_ROOM,LSTAT,AVG_PRICE
6.32,65.2,2.31,0.538,1,296,15.3,6.575,4.98,24
4.31,78.9,7.07,0.469,2,242,17.8,6.421,9.14,21.6
7.87,61.1,7.07,0.469,2,242,17.8,7.185,4.03,34.7
6.47,45.8,2.18,0.458,3,222,18.7,6.998,2.94,33.4
5.24,54.2,2.18,0.458,3,222,18.7,7.147,5.33,36.2
9.75,58.7,2.18,0.458,3,222,18.7,6.43,5.21,28.7
9.42,66.6,7.87,0.524,5,311,15.2,6.012,12.43,22.9
2.76,96.1,7.87,0.524,5,311,15.2,6.172,19.15,27.1
7.66,100,7.87,0.524,5,311,15.2,5.631,29.93,16.5
1.12,85.9,7.87,0.524,5,311,15.2,6.004,17.1,18.9
7.52,94.3,7.87,0.524,5,311,15.2,6.377,20.45,15
1.55,82.9,7.87,0.524,5,311,15.2,6.009,13.27,18.9
3.7,39,7.87,0.524,5,311,15.2,5.889,15.71,21.7
7.14,61.8,8.14,0.538,4,307,21,5.949,8.26,20.4
0.21,84.5,8.14,0.538,4,307,21,6.096,10.26,18.2
8.6,56.5,8.14,0.538,4,307,21,5.834,8.47,19.9
6.95,29.3,8.14,0.538,4,307,21,5.935,6.58,23.1
0.8,81.7,8.14,0.538,4,307,21,5.99,14.67,17.5
8.5,36.6,8.14,0.538,4,307,21,5.456,11.69,20.2
5.53,69.5,8.14,0.538,4,307,21,5.727,11.28,18.2
8.39,98.1,8.14,0.538,4,307,21,5.57,21.02,13.6
8.96,89.2,8.14,0.538,4,307,21,5.965,13.83,19.6
9.61,91.7,8.14,0.538,4,307,21,6.142,18.72,15.2
2.8,100,8.14,0.538,4,307,21,5.813,19.88,14.5
1.29,94.1,8.14,0.538,4,307,21,5.924,16.3,15.6
5.71,85.7,8.14,0.538,4,307,21,5.599,16.51,13.9
0.82,90.3,8.14,0.538,4,307,21,5.813,14.81,16.6
